Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,35.020000,35.380001,34.560001,34.630001,34.297302,4841100
2022-04-06,34.349998,35.009998,33.689999,34.330002,34.000187,8243200
2022-04-07,34.330002,34.529999,33.959999,34.119999,33.792198,5002100
2022-04-08,34.000000,34.630001,33.660000,34.139999,33.812016,4997500
2022-04-11,33.709999,34.020000,32.549999,32.549999,32.237286,8741200
2022-04-12,32.790001,33.230000,32.230000,32.369999,32.059017,7807000
2022-04-13,32.639999,32.830002,32.209999,32.560001,32.247192,7557300
2022-04-14,32.560001,32.889999,32.080002,32.290001,31.979784,4676000
2022-04-18,32.150002,32.369999,31.400000,31.910000,31.603436,6937300
2022-04-19,31.549999,31.580000,30.670000,31.370001,31.068624,12091000
2022-04-20,31.440001,31.930000,31.260000,31.420000,31.118143,5515500
2022-04-22,30.830000,31.510000,30.590000,31.309999,31.009197,10587900
2022-04-25,31.030001,31.620001,30.920000,31.209999,30.910158,5920900
2022-04-26,31.180000,31.320000,29.830000,29.980000,29.691975,11274900
2022-04-27,30.680000,31.820000,30.230000,31.629999,31.326122,12950700
2022-04-28,31.850000,31.959999,30.850000,31.129999,30.830927,7984900
2022-04-29,31.520000,31.549999,29.969999,30.100000,29.810825,9606000
2022-05-02,29.910000,30.280001,28.480000,28.940001,28.661966,12226000
2022-05-03,29.040001,29.040001,28.250000,28.410000,28.137058,9842500
2022-05-04,28.400000,29.160000,27.980000,28.940001,28.661966,8729900
2022-05-05,28.700001,28.879999,27.670000,28.160000,27.889462,11077900
2022-05-06,28.090000,28.090000,26.930000,27.150000,26.889164,13021900
2022-05-09,26.900000,27.500000,26.629999,26.660000,26.403873,10148000
2022-05-10,26.959999,27.059999,26.040001,26.120001,25.869061,8285600
2022-05-11,26.120001,26.400000,25.900000,26.100000,25.849253,8726100
2022-05-12,26.110001,26.520000,25.809999,26.410000,26.156275,8428100
2022-05-13,26.730000,27.059999,26.410000,26.500000,26.245411,6176600
2022-05-16,26.500000,26.510000,25.910000,26.200001,25.948294,7571800
2022-05-17,26.530001,27.100000,26.129999,26.910000,26.651470,10281000
2022-05-18,26.879999,27.020000,26.290001,26.430000,26.176083,9313800
2022-05-19,26.549999,26.549999,25.520000,25.530001,25.284729,9109900
2022-05-20,25.700001,26.100000,25.549999,25.990000,25.740311,9310600
2022-05-23,26.020000,26.719999,25.950001,26.570000,26.314737,8069400
2022-05-24,26.299999,26.480000,25.690001,26.080000,25.829443,8546100
2022-05-25,25.840000,25.959999,24.900000,25.309999,25.066839,11060700
2022-05-26,25.340000,25.990000,25.219999,25.709999,25.462999,7967100
